feature,frac_compound,frac_source,frac_plate_within_source,frac_residual,ss_total,compartment,feature_type,channel
Image_Intensity_StdIntensity_Mito,0.007513773990659453,0.8808913168553947,0.036650288784059674,0.07494462036988618,8659.998706368699,Image,Intensity,Mito
Image_Texture_AngularSecondMoment_AGP_5_02_256,0.2784577823405402,0.40031537689419733,0.0191138551112427,0.30211298565401973,24711.00836737558,Image,Texture,AGP
Cells_Granularity_16_ER,0.15142059027295968,0.5253238352841088,0.02032008719395865,0.30293548724897285,13630.492121067171,Cells,Granularity,ER
Image_Texture_InfoMeas2_ER_3_02_256,0.4639306825997218,0.14499610666826643,0.01882436087061329,0.3722488498613985,145681.65755510647,Image,Texture,ER
Nuclei_Texture_InverseDifferenceMoment_DNA_3_00_256,0.0068116021302622115,0.9441520416046242,0.027565373648890355,0.021470982616223256,6139.436246078587,Nuclei,Texture,DNA
Nuclei_Texture_InfoMeas2_RNA_3_02_256,0.005136619201865481,0.8625650016218996,0.06168093155149152,0.07061744762474335,23626.080114215092,Nuclei,Texture,RNA
Image_Texture_InfoMeas2_RNA_3_03_256,0.43304550041475687,0.1831804671570753,0.038009755633510396,0.3457642767946574,180202.97939040093,Image,Texture,RNA
Image_Texture_SumVariance_AGP_10_00_256,0.0162260099373978,0.7873941765923164,0.08187342478186277,0.11450638868842306,9412.137559441775,Image,Texture,AGP
Image_Texture_AngularSecondMoment_AGP_5_01_256,0.2864415794857508,0.385264152115188,0.01854283091712072,0.3097514374819405,26237.43260233415,Image,Texture,AGP
Nuclei_Texture_InfoMeas2_AGP_10_00_256,0.010569768180748843,0.9384198816778344,0.026509774599854506,0.02450057554156223,35585.65010982397,Nuclei,Texture,AGP
Image_Texture_Correlation_DNA_3_02_256,0.013517094926813678,0.8917893794533137,0.04666760183200889,0.04802592378786364,22723.150474228,Image,Texture,DNA
Image_Texture_Variance_ER_3_01_256,0.00985383889044043,0.8524225715094804,0.05550202964346729,0.08222155995661193,18908.249151185293,Image,Texture,ER
Nuclei_Texture_Contrast_RNA_5_03_256,0.023906857370687293,0.8240488611099082,0.034889990684084354,0.1171542908353203,131653.35863767515,Nuclei,Texture,RNA
Image_Texture_DifferenceVariance_Mito_3_01_256,0.06327005703032397,0.5482798840938823,0.17544137260844223,0.21300868626735153,37930.14615379643,Image,Texture,Mito
Image_Granularity_9_Mito,0.2548346281646171,0.2665143393527185,0.11287297507255406,0.36577805741011016,15392.281159119524,Image,Granularity,Mito
Cells_RadialDistribution_FracAtD_mito_tubeness_2of20,0.25522092017526404,0.1358904127163218,0.030073561854225824,0.5788151052541883,46351.95431146881,Cells,RadialDistribution,
Image_Texture_Variance_DNA_10_00_256,0.000536889400729342,0.9809015999790955,0.011194663137356047,0.007366847482819098,757784.6812639001,Image,Texture,DNA
